Tweet,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
Worry is a down payment on a problem you may never have ' � Joyce meyer motivation leadership worry,0,1,0,0,0,0,1,0,0,0,1
Whatever you decide to do make sure it makes you happy,0,0,0,0,1,1,1,0,0,0,0
"It also helps that the majority of nfl coaching is inept some of bill o'brien is play calling was wow , gopats",1,0,1,0,1,0,1,0,0,0,0
Accept the challenges so that you can literally even feel the exhilaration of victory ' -- george s. patton,0,0,0,0,1,0,1,0,0,0,0
My roommate : it is okay that we can not spell because we have autocorrect terrible firstworldprobs,1,0,1,0,0,0,0,0,0,0,0
No but that is so cute atsu was probably shy about photos before but cherry helped her out uwu,0,0,0,0,1,0,0,0,0,0,0
Do you think humans have the sense for recognizing impending doom,0,1,0,0,0,0,0,1,0,0,0
"Rooneys fucking untouchable is not he been fucking dreadful again , depay has looked decent ( ish ) tonight",1,0,1,0,0,0,0,0,0,0,0
It is pretty depressing when u hit pan on ur favourite highlighter,0,0,1,0,0,0,0,0,1,0,0
But your pussy was weak from what i heard so stfu up to me bitch you got to threaten him that your pregnant,1,0,1,0,0,0,0,0,0,0,0
Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist college,0,0,1,0,0,0,0,1,1,0,0
And it is hard to dance with a devil on your back so shake him off,0,0,0,0,0,0,0,0,0,0,0
Tiller and breezy should do a collab album rapping and singing prolly be fire,0,0,0,0,1,1,0,0,0,0,0
S/o to the girl that just hit my car  not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived kait,1,0,0,0,0,0,0,0,1,0,0
Broadband is shocking regretting signing up now angry shouldofgonewithvirgin,1,0,1,0,0,0,0,0,0,0,0
People you need to look up the definition of protest what you are doing is not protesting is called vandalism angry stop,1,0,1,0,0,0,0,0,1,0,0
Look at those teef growl,1,0,1,1,0,0,0,0,0,0,0
Star trek online has a update to download oh fuming yay,1,0,1,0,1,0,0,0,1,0,0
"The bitter the battle , the sweeter the victory ",0,0,0,0,1,0,1,0,0,0,0
I cant stop i finished dejected luckily no one is in the bathroom so i go to a stall and wait until my pants are dry,1,0,1,0,0,0,0,0,1,0,0
Usa was embarrassing to watch when was the last time you guys won a  horrible joke,1,0,1,0,0,0,0,0,0,0,0
Newyork : several baloch and indian activists hold demonstrations outside headquarters demanding pak to stop exporting terror into india,0,0,0,1,0,0,0,0,1,0,0
